file_name,folder,class_id,class
XC115082 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC115085 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC145686 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC164486 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC171118 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC176295 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC178593 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC189513 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC189613 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC192674 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC203744 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC217865 - Brown Tinamou - Crypturellus obsoletus obsoletus (ssp assumed from location).mp3,1,1,Brown_Tinamou
XC217866 - Brown Tinamou - Crypturellus obsoletus obsoletus (ssp assumed from location).mp3,1,1,Brown_Tinamou
XC221855 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC221856 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC221857 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC221858 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC221859 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC288347 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC329092 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC332201 - Brown Tinamou - Crypturellus obsoletus obsoletus (ssp assumed from location).mp3,1,1,Brown_Tinamou
XC332732 - Brown Tinamou - Crypturellus obsoletus obsoletus (ssp assumed from location).mp3,1,1,Brown_Tinamou
XC335296 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC337076 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC337077 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC344287 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC348637 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC348783 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC351069 - Brown Tinamou - Crypturellus obsoletus punensis.mp3,1,1,Brown_Tinamou
XC351071 - Brown Tinamou - Crypturellus obsoletus punensis.mp3,1,1,Brown_Tinamou
XC351477 - Brown Tinamou - Crypturellus obsoletus punensis.mp3,1,1,Brown_Tinamou
XC414872 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC414933 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC427265 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC465555 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC492558 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC494959 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC549350 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC549351 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC549354 - Brown Tinamou - Crypturellus obsoletus obsoletus.mp3,1,1,Brown_Tinamou
XC551776 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC61641 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC657841 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
XC698117 - Brown Tinamou - Crypturellus obsoletus.mp3,1,1,Brown_Tinamou
